Variable,GCM,Scenario,YearRange,Station,Raw_Pbias,BiasCorrected_Pbias,Raw_RMSE,BiasCorrected_RMSE,Raw_R2,BiasCorrected_R2,Raw_KGE,BiasCorrected_KGE,Raw_NSE,BiasCorrected_NSE,Raw_NRMSE,BiasCorrected_NRMSE
pr,ACCESS-CM2,historical,2000-2009,OTM,-51.6,-51.6,8.88042828824471,8.88042828824471,0.00313571493848979,0.00313571493848979,-0.334821130346081,-0.334821130346081,-0.209667353400674,-0.209667353400674,0.102228994431145,0.102228994431145
pr,ACCESS-CM2,historical,2000-2009,OTG,-8.4,-8.4,8.4822217048098,8.4822217048098,0.000381879398396306,0.000381879398396306,-0.167658645899908,-0.167658645899908,-0.208645752345313,-0.208645752345313,0.0654795561587911,0.0654795561587911
pr,ACCESS-CM2,historical,2000-2009,DSM,-48.9,-48.9,8.16730053275762,8.16730053275762,0.000600744335934368,0.000600744335934368,-0.300073455636328,-0.300073455636328,-0.180891331211043,-0.180891331211043,0.0774812686913729,0.0774812686913729
pr,ACCESS-CM2,ssp126,2015-2017,OTM,-48,-48,6.51705230153576,6.51705230153576,7.34192455880625e-06,7.34192455880625e-06,-0.275204791933915,-0.275204791933915,-0.16890625246294,-0.16890625246294,0.108260279436788,0.108260279436788
pr,ACCESS-CM2,ssp126,2015-2017,OTG,-6.6,-6.6,8.13292504848237,8.13292504848237,0.000293004498624224,0.000293004498624224,-0.120178590068568,-0.120178590068568,-0.20232589184492,-0.20232589184492,0.0914839712990142,0.0914839712990142
pr,ACCESS-CM2,ssp126,2015-2017,DSM,-54.8,-54.8,8.07559572978344,8.07559572978344,3.35726710841119e-08,3.35726710841119e-08,-0.330716221625277,-0.330716221625277,-0.131548912127831,-0.131548912127831,0.090067093415086,0.090067093415086
pr,CanESM5,historical,1950-2014,OXV,-42.3,-0.4,8.12028457955374,4.6355514798696,8.08599411639463e-06,0.681607136135163,-0.263620244729401,0.554217388423931,-0.147682770578641,0.625990890905535,0.0921314822159992,0.0525942440249336
pr,CanESM5,historical,1950-2014,I75,-45.2,0.6,8.2322591516312,4.30192227716625,0.00031806276431262,0.729642378183922,-0.25703222736189,0.580003446950027,-0.215324105860426,0.668121464870501,0.0920751963094041,0.0481156303369526
pr,CanESM5,historical,1950-2014,CAV,36,0.7,7.73720049525476,3.9356750030621,0.00222498900483181,0.692553198138869,-0.0628124510513395,0.548724506449293,-0.431851385427973,0.629516646560164,0.0821062514087777,0.0417649150313273
pr,CanESM5,historical,1950-2014,OTM,-47.3,-1.4,9.01825655339325,5.08566247036668,0.00026201906952355,0.698290352892593,-0.291134062161583,0.542938702126187,-0.164456234717406,0.629683498610959,0.0727560390586134,0.0410292893246312
