Date,OTG,DSM,OTM
2010-01-01,4.76179457109538e-06,3.92574079910446e-08,1.18098014922907e-07
2010-01-02,0,1.45637613968574e-06,4.270537829143e-06
2010-01-03,0,7.49128844290681e-07,2.14307397072844e-06
2010-01-04,0,1.03908519122342e-06,2.89842046186095e-06
2010-01-05,0,3.09477883320142e-08,9.25254681760634e-08
2010-01-06,0,5.79721074700501e-07,2.88368397605154e-07
2010-01-07,0,3.23287758874358e-06,7.82386177888839e-06
2010-01-08,0,4.81105635117274e-05,7.05425409250893e-05
2010-01-09,0,2.35279876505956e-05,3.18652637361083e-05
2010-01-10,0,2.1837797248736e-05,3.42983621521853e-05
2010-01-11,0,3.99118152927258e-06,7.76801516622072e-06
2010-01-12,0,0,0
2010-01-13,4.36248683399754e-06,0,0
2010-01-14,3.7294394132914e-06,7.14527345735405e-07,1.63614049597527e-06
2010-01-15,2.16688454202085e-06,2.85005882005862e-07,8.35794480735785e-07
2010-01-16,1.95765255739389e-06,1.50379685237567e-06,7.33509580186365e-07
2010-01-17,4.26476071879733e-05,4.23776072011606e-07,2.95853652687583e-07
2010-01-18,0.000125935126561672,2.00322156160837e-05,1.36461003421573e-05
2010-01-19,8.6216488853097e-05,1.69632548931986e-05,9.01270232134266e-06
2010-01-20,5.46487026440445e-05,1.3974410649098e-05,6.76377112540649e-06
2010-01-21,5.67768365726806e-05,2.23463030124549e-05,1.09771945062676e-05
2010-01-22,3.67353413821547e-06,7.39265215088381e-06,3.99360624214751e-06
2010-01-23,2.01323146029608e-05,0,0
2010-01-24,5.14830971951596e-05,5.86864098295337e-06,2.82176233667997e-06
2010-01-25,0,3.24563256981492e-06,2.91596165880037e-06
2010-01-26,0,0,0
2010-01-27,0,1.22825322250719e-05,1.04065438790713e-05
2010-01-28,1.56295918714022e-05,5.20471730851568e-05,5.03781666338909e-05
2010-01-29,6.38635392533615e-05,7.84640724305064e-05,6.55291660223156e-05
2010-01-30,8.47357659949921e-06,1.28791843962972e-05,2.00769518414745e-05
2010-01-31,3.61788124791929e-07,1.02541079627372e-07,2.93879622859095e-07
2010-02-01,5.10343161295168e-05,2.3071008399711e-05,1.58324710355373e-05
2010-02-02,3.34474061673973e-05,2.59856169577688e-05,1.82439143827651e-05
2010-02-03,2.6448449716554e-05,6.19745878793765e-06,3.06331389765546e-06
2010-02-04,5.25968389410991e-05,1.15378452392179e-05,5.51200537302066e-06
2010-02-05,4.11134715250228e-05,2.080074409605e-05,1.30584339785855e-05
2010-02-06,3.4683762351051e-05,3.01843210763764e-05,1.64534558280138e-05
2010-02-07,2.03295421670191e-05,1.7300080799032e-05,1.11387626020587e-05
2010-02-08,0,5.70149097711692e-07,2.73309581189096e-07
2010-02-09,3.06670426653e-06,0,0
2010-02-10,2.4973189283628e-05,1.45122321555391e-05,1.09839729702799e-05
2010-02-11,5.26946168974973e-05,1.45008925755974e-05,7.26628195479862e-06
2010-02-12,6.30747990726377e-06,2.04549888138672e-08,9.87035697619376e-09
2010-02-13,8.86119869392132e-06,7.65279128955854e-09,2.22033840202585e-08
2010-02-14,7.51928746467456e-05,1.04280536561419e-06,5.05401658301707e-07
2010-02-15,4.23211458837613e-05,0,0
2010-02-16,6.97523792041466e-05,6.89938588038785e-06,3.36053017235827e-06
2010-02-17,9.27788132685237e-05,1.40922411446809e-05,7.77512013883097e-06
2010-02-18,0.000101558216556441,2.75069232884562e-05,1.9880002582795e-05
2010-02-19,5.63614303246141e-05,3.88788566851872e-06,3.47121704180609e-06
2010-02-20,6.47080305498093e-05,6.43580779069453e-06,9.19994272408076e-06
2010-02-21,0.000148374063428491,9.71749705058755e-06,1.05894278021879e-05
2010-02-22,0.000106820210930891,4.18795207224321e-06,2.0843697257078e-06
2010-02-23,9.64400605880655e-05,0.000173829961568117,0.000147749480674975
2010-02-24,2.35048355534673e-05,3.42233943229076e-05,4.43296376033686e-05
2010-02-25,9.85829829005525e-05,6.85641907693935e-06,9.25479889701819e-06
2010-02-26,9.94567108136835e-06,4.36092477684724e-08,1.31345174736452e-07
2010-02-27,9.95816890281276e-07,6.68276186388539e-07,1.2451412203518e-06
2010-02-28,1.49163879541447e-05,1.34781084852875e-05,1.46700658660848e-05
2010-03-01,1.29534982988844e-05,1.21213442980661e-05,7.60751754569355e-06
2010-03-02,2.25334770220798e-05,6.40838266008359e-07,3.25644549548088e-07
2010-03-03,1.3415988178167e-06,3.1361898322757e-07,1.59828772439141e-07
2010-03-04,6.60830773995258e-05,9.3481176008936e-06,6.18233525528922e-06
2010-03-05,1.23385689221323e-05,6.38632809568662e-06,7.21039714335348e-06
2010-03-06,5.88585644436535e-05,2.78272036666749e-05,2.09293011721456e-05
2010-03-07,5.26804160472238e-06,1.9230032194173e-05,9.97823735815473e-06
2010-03-08,2.71563912974671e-05,4.90117672597989e-05,3.67257052857894e-05
2010-03-09,4.67381414637202e-06,1.31847091324744e-05,8.50520700623747e-06
2010-03-10,1.49726963627472e-06,1.3941638826509e-05,1.28873143694364e-05
2010-03-11,0,8.6817926785443e-06,1.3619996025227e-05
2010-03-12,8.09553603176028e-06,0.00011705363431247,0.000177617053850554
2010-03-13,4.27718405262567e-05,0.000172343192389235,0.00022309365158435
2010-03-14,2.0577392206178e-05,9.99870462692343e-05,0.00012568139936775
2010-03-15,1.45186613735859e-05,4.95300737384241e-05,6.10753413639031e-05
2010-03-16,3.32235067617148e-05,8.19406559458002e-05,9.28546869545244e-05
