Date,OTG,DSM,OTM
2000-01-01,6.12419853496249e-06,0,0
2000-01-02,0,0,0
2000-01-03,0,0,0
2000-01-04,0,2.99504250733662e-07,8.9692628080229e-07
2000-01-05,7.43567170502502e-06,0,0
2000-01-06,1.70598523254739e-05,2.48665799063019e-08,1.23692851516921e-08
2000-01-07,1.34725205498398e-05,0,0
2000-01-08,3.16386503982358e-05,1.42997924612587e-09,4.25232027367883e-09
2000-01-09,7.0844529545866e-05,4.86082035422442e-06,2.40451981881051e-06
2000-01-10,7.65743388910778e-05,5.3776257118443e-05,2.9187491236371e-05
2000-01-11,7.39243405405432e-05,4.10867551181582e-06,2.02448813979572e-06
2000-01-12,4.85718846903183e-05,9.8797522696259e-07,4.85833254515455e-07
2000-01-13,1.31790989144065e-06,8.22616584628122e-07,4.27857543172649e-07
2000-01-14,0,0,0
2000-01-15,7.06346554579795e-06,0,0
2000-01-16,0.000108657106466126,8.59775354911108e-07,4.19374117655025e-07
2000-01-17,0.000171191160916351,7.063898465276e-06,3.43869169228128e-06
2000-01-18,7.1103306254372e-05,4.28868315793807e-06,2.15447516893619e-06
2000-01-19,3.46538581652567e-05,2.2635676941718e-06,1.14304759790684e-06
2000-01-20,6.94889895385131e-05,3.07668306049891e-05,2.07933753699763e-05
2000-01-21,1.24796024465468e-05,1.33222567910707e-06,1.98777638615866e-06
2000-01-22,1.43492840720683e-07,1.07622497580451e-06,3.11452095047571e-06
2000-01-23,0,5.24064262208412e-06,1.51416270455229e-05
2000-01-24,0,3.14865656037e-06,9.08363017515512e-06
2000-01-25,0,7.34314014039228e-08,2.1155038609777e-07
2000-01-26,0,1.32262485408319e-07,1.17083217787695e-07
2000-01-27,2.17888356246476e-07,7.17701240660063e-08,2.06274862080136e-07
2000-01-28,0,0,0
2000-01-29,0,6.14849753333147e-08,1.76403389673396e-07
2000-01-30,0,0,0
2000-01-31,3.80913121489357e-07,0,0
2000-02-01,1.6564894167459e-06,2.75790597470404e-07,7.90202875577961e-07
2000-02-02,0,1.23566915135598e-05,1.81468967639375e-05
2000-02-03,8.7844135521209e-08,6.89530907038716e-06,1.35495693029952e-05
2000-02-04,5.4997631337983e-08,0,0
2000-02-05,0,0,0
2000-02-06,1.55316183736431e-06,5.78259182759666e-08,1.65966511644911e-07
2000-02-07,9.48075012274785e-07,0,0
2000-02-08,4.31279261192685e-07,1.44655859912746e-06,6.93429683451541e-07
2000-02-09,1.84409727808088e-05,3.75982767764071e-06,2.14700185097172e-06
2000-02-10,0,0,0
2000-02-11,0,5.85318844059657e-07,8.34520278658602e-07
2000-02-12,4.79768544892067e-08,2.47754610427364e-06,6.41272026769002e-06
2000-02-13,0,1.68324515925633e-06,4.8698129830882e-06
2000-02-14,2.05159335564531e-06,1.76740444501888e-09,5.13949682812154e-09
2000-02-15,0,1.47155324157211e-05,2.39911569224205e-05
2000-02-16,0,2.28411317948485e-05,4.94864907523152e-05
2000-02-17,0,5.50595586901181e-07,1.61342472893011e-06
2000-02-18,0,9.48960007463029e-07,2.7885616873391e-06
2000-02-19,1.99364109221278e-07,0,0
2000-02-20,3.98957240577147e-07,2.76000122312325e-07,2.27997404067537e-07
2000-02-21,2.8090437353967e-06,0,0
2000-02-22,1.2875215134045e-06,3.83730991870834e-07,9.52886182403745e-07
2000-02-23,1.28952549971473e-07,2.54410146283135e-08,7.59022853458191e-08
2000-02-24,0,4.47090293675956e-08,1.33809621161163e-07
2000-02-25,0,4.56919087810093e-06,1.32575751194963e-05
2000-02-26,0,4.02544446842512e-06,1.07292389657232e-05
2000-02-27,0,0,0
2000-02-28,1.11963700533124e-07,0,0
2000-02-29,1.77645475218924e-07,2.90366386934693e-07,1.47112913850833e-07
2000-03-01,1.66037796134333e-06,0,0
2000-03-02,3.18916471009345e-09,2.61677701729468e-08,8.00148569624071e-08
2000-03-03,0,6.47243467710723e-08,3.30779919011093e-08
2000-03-04,0,0,0
2000-03-05,0,1.71028958106945e-07,8.7870901666065e-08
2000-03-06,0,0,0
2000-03-07,0,2.10143966228316e-07,6.50944230073947e-07
2000-03-08,0,2.6359163740608e-09,1.36386879567851e-09
2000-03-09,0,0,0
2000-03-10,0,0,0
2000-03-11,0,0,0
2000-03-12,0,0,0
2000-03-13,0,2.80833319266094e-06,1.46614002005663e-06
2000-03-14,0,2.96609776739842e-08,1.5505673189864e-08
2000-03-15,0,2.3910386559578e-08,1.25141665918704e-08
2000-03-16,0,0,0
2000-03-17,7.0362507358368e-06,4.21105035286473e-08,2.20811067208615e-08
2000-03-18,4.21558615926188e-05,1.26863005789346e-06,6.65688105527806e-07
2000-03-19,5.33726961293723e-06,2.10267643296902e-07,6.62365096104622e-07
2000-03-20,0,7.03422742276416e-08,3.69454902227062e-08
2000-03-21,0,5.79902689423761e-07,1.82792018676992e-06
2000-03-22,0,0,0
2000-03-23,0,0,0
2000-03-24,0,0,0
2000-03-25,0,0,0
2000-03-26,1.33948685476781e-09,0,0
2000-03-27,2.32431986546544e-07,1.44272206625828e-07,4.54068839417232e-07
2000-03-28,2.15528834814904e-05,0,0
2000-03-29,0,1.8809832624811e-07,5.9108640471095e-07
2000-03-30,0,0,0
2000-03-31,0,0,0
2000-04-01,3.25293831338058e-06,0,0
2000-04-02,0,0,0
2000-04-03,0,0,0
2000-04-04,0,0,0
