Date,OTG,DSM,OTM
2017-01-01,0,7.83384621172445e-07,2.35665493164561e-06
2017-01-02,1.21341798831054e-07,6.59650023493441e-09,1.98158929265446e-08
2017-01-03,9.53500239120331e-06,0,0
2017-01-04,5.84529459501937e-07,1.29650160829442e-07,3.88263714512505e-07
2017-01-05,3.50312147929799e-05,2.43853105530434e-06,1.21509071959736e-06
2017-01-06,8.32883088150993e-05,1.34991569211707e-05,6.71483257974614e-06
2017-01-07,4.89331905555446e-05,1.7525428575027e-06,8.70197482072399e-07
2017-01-08,5.12227961735334e-06,5.26508934228787e-08,4.22692600920982e-08
2017-01-09,9.27343135117553e-05,0,0
2017-01-10,6.89579464960843e-05,1.30954811083939e-06,7.3367198183405e-07
2017-01-11,0.000106473889900371,8.46370894578286e-05,5.51018129044678e-05
2017-01-12,2.89633662760025e-05,1.5054720279295e-05,2.16114003706025e-05
2017-01-13,9.40789468586445e-05,1.12089928734349e-05,1.08889216789976e-05
2017-01-14,7.50112621972221e-06,1.77310278104414e-06,1.40610131893482e-06
2017-01-15,1.34093324959395e-05,4.44866191173787e-06,2.17432170757093e-06
2017-01-16,9.22754952625837e-06,1.05955314211315e-06,5.16820080065372e-07
2017-01-17,1.06100878838333e-05,0,0
2017-01-18,1.45942294693668e-05,1.32209697767394e-06,6.42331542621832e-07
2017-01-19,0,6.09835012710391e-07,1.76606897639431e-06
2017-01-20,3.71009446098469e-05,4.75376600661548e-06,2.30087607633323e-06
2017-01-21,6.92511139277485e-06,3.14638509735232e-06,1.78285438323655e-06
2017-01-22,0,0,0
2017-01-23,0,2.73143623275018e-08,1.3153091060758e-08
2017-01-24,8.65447364049032e-05,1.65034507517703e-05,8.62427441461477e-06
2017-01-25,2.09140634979121e-05,2.43811859945708e-06,1.17067293103901e-06
2017-01-26,1.62508295034058e-05,0,0
2017-01-27,2.97967690130463e-05,3.38215571105138e-08,9.72066942495076e-08
2017-01-28,1.62707874551415e-05,0,0
2017-01-29,3.30431907968887e-06,2.60352504000139e-08,7.46964019526786e-08
2017-01-30,0,3.74920546164503e-07,4.20041089910228e-07
2017-01-31,3.40131941811705e-06,3.60791787556991e-08,6.46436646434268e-08
2017-02-01,8.51856311783195e-05,1.60549825523049e-05,7.77986042521661e-06
2017-02-02,2.5910829208442e-05,3.90535751648713e-05,2.75160418823361e-05
2017-02-03,3.30836815010116e-06,1.71190972508839e-08,8.17559087096242e-09
2017-02-04,3.81176541850437e-05,6.06409503234318e-06,2.89701620204141e-06
2017-02-05,3.96796058339532e-05,3.88847147405613e-05,3.48195972037502e-05
2017-02-06,4.48278200337882e-07,2.26388465307537e-06,1.91039907804225e-06
2017-02-07,7.65657841839129e-06,4.63044125353918e-06,3.46583760801877e-06
2017-02-08,2.62602188740857e-05,2.62906814896269e-05,2.20903675653972e-05
2017-02-09,1.15848424684373e-05,5.91870302741882e-05,4.45753139501903e-05
2017-02-10,1.42557792059961e-06,3.26028457493521e-05,2.23767601710279e-05
2017-02-11,2.92438312499144e-06,2.62217054114444e-06,5.31621117261238e-06
2017-02-12,0,1.92799554099565e-08,5.58201378453305e-08
