Date,DVP,MWM,OTG,AXA,BNW,CAV,CIN,CNC,DSM,EBS,EST,I75,IKV,OOA,OTM,OXV,PEA,PRO,SLB
1968-01-01 12:00:00,283.72858,283.72858,283.5548,281.32532,281.89523,274.69513,281.89523,285.23016,284.14832,280.2655,283.1531,285.23016,284.14832,285.23016,285.23016,284.94656,284.94656,283.57193,274.69513
1968-01-02 12:00:00,282.2482,282.2482,281.9557,279.58755,280.15546,272.81638,280.15546,283.9237,282.62466,278.4141,281.48636,283.9237,282.62466,283.9237,283.9237,283.52692,283.52692,281.9416,272.81638
1968-01-03 12:00:00,282.5956,282.5956,282.80905,281.06198,281.62656,274.90924,281.62656,283.44098,283.0436,280.40747,282.65207,283.44098,283.0436,283.44098,283.44098,283.41534,283.41534,282.88806,274.90924
1968-01-04 12:00:00,284.2611,284.2611,284.36603,282.2376,282.3055,275.7006,282.3055,283.9924,283.6826,281.10233,284.02032,283.9924,283.6826,283.9924,283.9924,284.02957,284.02957,283.54868,275.7006
1968-01-05 12:00:00,282.8862,282.8862,282.9386,281.00424,281.5286,274.65802,281.5286,283.67334,283.17725,280.18524,282.692,283.67334,283.17725,283.67334,283.67334,283.65494,283.65494,282.9092,274.65802
1968-01-06 12:00:00,281.23254,281.23254,281.2606,279.21976,279.7366,272.76358,279.7366,282.27216,281.53854,278.3121,280.96295,282.27216,281.53854,282.27216,282.27216,282.0874,282.0874,281.19568,272.76358
1968-01-07 12:00:00,283.2064,283.2064,283.15686,281.1521,281.65198,274.7281,281.65198,283.93692,283.35678,280.2712,282.87952,283.93692,283.35678,283.93692,283.93692,283.85135,283.85135,283.06442,274.7281
1968-01-08 12:00:00,280.77322,280.77322,280.60336,278.04434,277.80627,271.06195,277.80627,280.2452,279.43604,276.45804,280.05127,280.2452,279.43604,280.2452,280.2452,279.88702,279.88702,279.18323,271.06195
1968-01-09 12:00:00,279.31848,279.31848,279.21213,277.21024,277.68552,270.78055,277.68552,279.87582,279.32263,276.3284,278.94107,279.87582,279.32263,279.87582,279.87582,279.7709,279.7709,279.06827,270.78055
1968-01-10 12:00:00,283.21393,283.21393,283.07684,281.38657,282.48886,275.26382,282.48886,285.1497,284.42688,280.97583,282.96417,285.1497,284.42688,285.1497,285.1497,285.019,285.019,284.02426,275.26382
1968-01-11 12:00:00,287.1607,287.1607,287.0671,285.1131,285.67072,278.72165,285.67072,287.61746,287.3062,284.3033,286.82526,287.61746,287.3062,287.61746,287.61746,287.7401,287.7401,287.0572,278.72165
1968-01-12 12:00:00,287.50497,287.50497,287.3016,284.9556,284.75677,278.16702,284.75677,285.99908,286.02066,283.56937,286.86652,285.99908,286.02066,285.99908,285.99908,286.26154,286.26154,285.95987,278.16702
1968-01-13 12:00:00,285.28482,285.28482,285.1597,282.9081,283.1031,276.2085,283.1031,285.04813,284.7181,281.73407,284.77463,285.04813,284.7181,285.04813,285.04813,285.1271,285.1271,284.48422,276.2085
1968-01-14 12:00:00,286.98608,286.98608,287.03058,285.0052,285.4506,278.52603,285.4506,287.25217,287.00583,284.10532,286.76154,287.25217,287.00583,287.25217,287.25217,287.37723,287.37723,286.8044,278.52603
1968-01-15 12:00:00,288.03656,288.03656,287.91693,285.6811,285.93048,278.98557,285.93048,287.81207,287.55804,284.54266,287.54562,287.81207,287.55804,287.81207,287.81207,287.95764,287.95764,287.32312,278.98557
1968-01-16 12:00:00,288.04037,288.04037,288.0501,285.83243,285.7406,279.14896,285.7406,286.71854,286.86563,284.5975,287.69092,286.71854,286.86563,286.71854,286.71854,287.00592,287.00592,286.88474,279.14896
1968-01-17 12:00:00,286.7297,286.7297,286.68326,283.90695,283.10965,276.65848,283.10965,284.122,284.20773,281.97336,286.04785,284.122,284.20773,284.122,284.122,284.3261,284.3261,284.2431,276.65848
