Date,DVP,MWM,OTG,AXA,BNW,CAV,CIN,CNC,DSM,EBS,EST,I75,IKV,OOA,OTM,OXV,PEA,PRO,SLB
1970-01-01 12:00:00,278.4049,278.4049,278.57608,276.13965,274.9185,269.31815,274.9185,275.30896,275.544,274.1535,278.01764,275.30896,275.544,275.30896,275.30896,275.50574,275.50574,275.78894,269.31815
1970-01-02 12:00:00,274.14783,274.14783,274.6727,274.12183,275.16797,269.1831,275.16797,275.38113,275.66702,274.4636,275.0584,275.38113,275.66702,275.38113,275.38113,275.56256,275.56256,275.97617,269.1831
1970-01-03 12:00:00,272.62833,272.62833,272.83936,271.4226,272.25537,265.61487,272.25537,274.30814,273.9059,270.97247,272.79358,274.30814,273.9059,274.30814,274.30814,274.3741,274.3741,273.64035,265.61487
1970-01-04 12:00:00,270.96976,270.96976,270.81863,268.81174,268.93726,262.4105,268.93726,271.091,270.62112,267.63474,270.47934,271.091,270.62112,271.091,271.091,271.1026,271.1026,270.33997,262.4105
1970-01-05 12:00:00,265.8194,265.8194,265.55414,263.54538,263.99774,257.13855,263.99774,267.14926,266.1131,262.47638,265.21558,267.14926,266.1131,267.14926,267.14926,266.80685,266.80685,265.61737,257.13855
1970-01-06 12:00:00,268.43054,268.43054,268.12604,265.31168,264.80325,258.0953,264.80325,268.0238,266.97275,263.25168,267.3864,268.0238,266.97275,268.0238,268.0238,267.68988,267.68988,266.4512,258.0953
1970-01-07 12:00:00,272.79034,272.79034,273.06683,271.82684,272.1225,266.1806,272.1225,272.63217,272.7324,271.3473,273.1162,272.63217,272.7324,272.63217,272.63217,272.66583,272.66583,272.99188,266.1806
1970-01-08 12:00:00,273.13876,273.13876,273.2971,271.87967,272.8392,266.0516,272.8392,275.17874,274.6221,271.47403,273.25967,275.17874,274.6221,275.17874,275.17874,275.13803,275.13803,274.29645,266.0516
1970-01-09 12:00:00,272.19196,272.19196,272.1608,271.07004,271.8566,265.56387,271.8566,273.01526,272.8566,270.87927,272.2887,273.01526,272.8566,273.01526,273.01526,272.97693,272.97693,272.9238,265.56387
1970-01-10 12:00:00,271.78235,271.78235,272.02402,271.31454,272.65695,266.18472,272.65695,273.92755,273.75458,271.6271,272.3446,273.92755,273.75458,273.92755,273.92755,273.91934,273.91934,273.7744,266.18472
1970-01-11 12:00:00,271.42188,271.42188,271.5994,271.3596,273.4762,266.6943,273.4762,275.1419,274.81506,272.32187,272.15698,275.1419,274.81506,275.1419,275.1419,275.09595,275.09595,274.7158,266.6943
1970-01-12 12:00:00,275.20593,275.20593,275.25937,273.85278,274.88904,268.0152,274.88904,277.17603,276.72403,273.48276,275.23575,277.17603,276.72403,277.17603,277.17603,277.24832,277.24832,276.37823,268.0152
1970-01-13 12:00:00,273.569,273.569,273.89523,272.2479,272.93198,266.16397,272.93198,275.04877,274.69034,271.55997,273.7535,275.04877,274.69034,275.04877,275.04877,275.17154,275.17154,274.38446,266.16397
1970-01-14 12:00:00,272.9244,272.9244,273.03076,271.678,272.2291,265.88284,272.2291,273.26587,273.3108,271.19128,273.0387,273.26587,273.3108,273.26587,273.26587,273.44882,273.44882,273.34488,265.88284
1970-01-15 12:00:00,272.89807,272.89807,273.17545,272.44818,274.29422,267.2725,274.29422,276.35223,276.0516,272.9143,273.49847,276.35223,276.0516,276.35223,276.35223,276.5225,276.5225,275.74948,267.2725
1970-01-16 12:00:00,272.549,272.549,272.61923,271.13077,272.079,265.18765,272.079,274.1525,273.89957,270.66318,272.5641,274.1525,273.89957,274.1525,274.1525,274.39697,274.39697,273.56757,265.18765
