Date,DVP,MWM,OTG,AXA,BNW,CAV,CIN,CNC,DSM,EBS,EST,I75,IKV,OOA,OTM,OXV,PEA,PRO,SLB
2073-01-01 12:00:00,2.430374,2.430374,2.4504302,2.412831,2.3038096,2.3940718,2.3038096,2.205565,2.2167568,2.3593252,2.426475,2.205565,2.2167568,2.205565,2.205565,2.1814477,2.1814477,2.2569568,2.3940718
2073-01-02 12:00:00,2.8367724,2.8367724,3.0020645,3.4305248,3.8079004,3.895543,3.8079004,3.4985588,3.5716877,3.943086,3.2088053,3.4985588,3.5716877,3.4985588,3.4985588,3.4631772,3.4631772,3.6854212,3.895543
2073-01-03 12:00:00,3.600613,3.600613,3.3708751,2.9630792,2.820867,2.5718646,2.820867,3.9131851,3.3592613,2.5848837,3.1607623,3.9131851,3.3592613,3.9131851,3.9131851,3.6659985,3.6659985,3.0782743,2.5718646
2073-01-04 12:00:00,3.914703,3.914703,3.6387687,3.1667428,2.8919966,2.712047,2.8919966,3.8008225,3.3558495,2.691502,3.3961174,3.8008225,3.3558495,3.8008225,3.8008225,3.6224291,3.6224291,3.112916,2.712047
2073-01-05 12:00:00,5.1329737,5.1329737,4.916106,4.4443884,3.9107099,4.001073,3.9107099,4.1554637,4.0002956,3.8928246,4.670876,4.1554637,4.0002956,4.1554637,4.1554637,4.068975,4.068975,3.9470828,4.001073
2073-01-06 12:00:00,8.002879,8.002879,7.8631353,7.396972,6.9556484,6.9847627,6.9556484,7.404229,7.16557,6.8998528,7.614384,7.404229,7.16557,7.404229,7.404229,7.315054,7.315054,7.045069,6.9847627
2073-01-07 12:00:00,7.3654513,7.3654513,6.983484,5.9684677,4.8167887,4.98535,4.8167887,5.2040567,5.003095,4.7587523,6.4634714,5.2040567,5.003095,5.2040567,5.2040567,5.128734,5.128734,4.898721,4.98535
2073-01-08 12:00:00,6.8292837,6.8292837,6.6272755,5.935107,5.118121,5.2810845,5.118121,5.2959614,5.1972513,5.1123466,6.2686973,5.2959614,5.1972513,5.2959614,5.2959614,5.2662215,5.2662215,5.147209,5.2810845
2073-01-09 12:00:00,5.569054,5.569054,5.6825724,5.7605276,6.363426,5.8898363,6.363426,7.8095236,7.0827365,6.0634117,5.7093134,7.8095236,7.0827365,7.8095236,7.8095236,7.505031,7.505031,6.702725,5.8898363
2073-01-10 12:00:00,3.859732,3.859732,4.165464,4.8888903,6.2237897,5.668245,6.2237897,7.50988,6.821968,5.979852,4.516724,7.50988,6.821968,7.50988,7.50988,7.1777267,7.1777267,6.504269,5.668245
2073-01-11 12:00:00,1.1387239,1.1387239,1.3512378,2.4362938,4.287781,3.5625482,4.287781,5.669342,4.9737186,3.9904914,1.8884884,5.669342,4.9737186,5.669342,5.669342,5.3671083,5.3671083,4.6147313,3.5625482
2073-01-12 12:00:00,2.4051926,2.4051926,2.2846978,2.0607054,2.0526874,1.8507363,2.0526874,2.8274245,2.4452262,1.8800436,2.1683803,2.8274245,2.4452262,2.8274245,2.8274245,2.66825,2.66825,2.240554,1.8507363
2073-01-13 12:00:00,2.6438737,2.6438737,2.4651668,2.2082505,1.8602873,1.9661459,1.8602873,1.8562021,1.8236351,1.8888413,2.3320875,1.8562021,1.8236351,1.8562021,1.8562021,1.8131214,1.8131214,1.8389745,1.9661459
