Date,DVP,MWM,OTG,AXA,BNW,CAV,CIN,CNC,DSM,EBS,EST,I75,IKV,OOA,OTM,OXV,PEA,PRO,SLB
2088-01-01 12:00:00,280.07394,280.07394,280.66357,279.49658,281.10416,273.94452,281.10416,284.2007,283.3856,279.51123,280.73987,284.2007,283.3856,284.2007,284.2007,284.1753,284.1753,282.80258,273.94452
2088-01-02 12:00:00,280.06073,280.06073,280.8428,279.29172,279.83585,273.35278,279.83585,281.6292,281.33255,278.63263,280.7284,281.6292,281.33255,281.6292,281.6292,281.7269,281.7269,281.14285,273.35278
2088-01-03 12:00:00,281.05493,281.05493,281.0548,278.66586,277.71655,271.88596,277.71655,278.67084,278.61133,276.81152,280.52295,278.67084,278.61133,278.67084,278.67084,278.70163,278.70163,278.72363,271.88596
2088-01-04 12:00:00,281.0154,281.0154,280.9983,278.79163,277.75864,272.19058,277.75864,278.1113,278.23083,277.06198,280.55914,278.1113,278.23083,278.1113,278.1113,278.1065,278.1065,278.5555,272.19058
2088-01-05 12:00:00,281.59933,281.59933,281.50745,279.20154,278.44025,272.4976,278.44025,279.38016,279.43262,277.4804,281.02032,279.38016,279.43262,279.38016,279.38016,279.56488,279.56488,279.49838,272.4976
2088-01-06 12:00:00,279.52005,279.52005,279.5534,277.78052,277.91492,271.60565,277.91492,279.25568,279.20566,276.8027,279.33453,279.25568,279.20566,279.25568,279.25568,279.4834,279.4834,279.12347,271.60565
2088-01-07 12:00:00,277.24026,277.24026,277.3696,275.31046,275.52396,268.8451,275.52396,277.94324,277.38953,274.1209,277.0094,277.94324,277.38953,277.94324,277.94324,277.9508,277.9508,277.02118,268.8451
2088-01-08 12:00:00,275.9639,275.9639,276.33313,274.74857,274.97565,268.7533,274.97565,276.33295,276.06058,273.95944,276.21213,276.33295,276.06058,276.33295,276.33295,276.22754,276.22754,276.0839,268.7533
2088-01-09 12:00:00,279.64914,279.64914,279.62244,277.4927,277.5273,270.9476,277.5273,279.8215,279.25632,276.18552,279.23087,279.8215,279.25632,279.8215,279.8215,279.7411,279.7411,278.959,270.9476
2088-01-10 12:00:00,280.9787,280.9787,280.57892,277.6928,276.4122,270.38632,276.4122,277.93732,277.6403,275.31714,279.81122,277.93732,277.6403,277.93732,277.93732,277.87024,277.87024,277.5949,270.38632
2088-01-11 12:00:00,284.10532,284.10532,283.9107,281.64713,281.1129,274.95807,281.1129,282.2102,282.29034,280.03934,283.4564,282.2102,282.29034,282.2102,282.2102,282.4905,282.4905,282.2718,274.95807
2088-01-12 12:00:00,280.65997,280.65997,280.56003,278.686,279.13675,272.381,279.13675,281.47882,280.9701,277.73126,280.30267,281.47882,280.9701,281.47882,281.47882,281.49356,281.49356,280.62512,272.381
2088-01-13 12:00:00,279.72693,279.72693,279.45285,277.28983,277.00848,270.69028,277.00848,278.69153,278.339,275.85037,279.05328,278.69153,278.339,278.69153,278.69153,278.60626,278.60626,278.247,270.69028
2088-01-14 12:00:00,282.69885,282.69885,282.47302,280.83768,281.0035,274.75992,281.0035,281.85312,282.0425,279.98706,282.33963,281.85312,282.0425,281.85312,281.85312,282.1592,282.1592,282.09796,274.75992
2088-01-15 12:00:00,283.30835,283.30835,283.07187,281.43457,282.1131,275.34882,282.1131,284.18396,283.8306,280.75314,282.93988,284.18396,283.8306,284.18396,284.18396,284.28152,284.28152,283.54843,275.34882
